company_name,website,email,source
Airbank,www.airbank.de,hello@airbank.de,manual
Circula,www.circula.com,hello@circula.com,manual
CoachHub,www.coachhub.com,info@coachhub.com,manual
Compeon,www.compeon.de,hello@compeon.de,manual
Demodesk,www.demodesk.com,hello@demodesk.com,manual
FinCompare,www.fincompare.de,hello@fincompare.de,manual
Frachtraum,www.frachtraum.de,info@frachtraum.de,manual
Fraugster,www.fraugster.com,hello@fraugster.com,manual
GraphCMS,hygraph.com,hello@hygraph.com,manual
HiringPlan,www.hiringplan.io,hello@hiringplan.io,manual
Keeeb,www.keeeb.com,hello@keeeb.com,manual
Klaaryo,www.klaaryo.com,hello@klaaryo.com,manual
Kolibri Games,www.kolibrigames.com,hello@kolibrigames.com,manual
Kooky,www.kooky.io,hello@kooky.io,manual
Lanch,www.lanch.io,hello@lanch.io,manual
Navina,www.navina.ai,hello@navina.ai,manual
OptioPay,www.optiopay.com,hello@optiopay.com,manual
Overleaf,www.overleaf.com,support@overleaf.com,manual
PlanRadar,www.planradar.com,info@planradar.com,manual
Presize,www.presize.ai,hello@presize.ai,manual
Productsup,www.productsup.com,hello@productsup.com,manual
Reonic,www.reonic.de,hello@reonic.de,manual
ServicePartnerOne,www.servicepartner.one,hello@servicepartner.one,manual
Shift说是,www.shiftplanning.de,hello@shiftplanning.de,manual
Smacc,www.smacc.io,hello@smacc.io,manual
Sprinte,www.sprinte.de,hello@sprinte.de,manual
Taxdoo,www.taxdoo.com,hello@taxdoo.com,manual
Tripoly,www.tripoly.de,hello@tripoly.de,manual
Vay,www.vay.ai,hello@vay.ai,manual
Wunder,www.wunder.ai,hello@wunder.ai,manual
