company_name,website,email,source
Celonis,www.celonis.com,info@celonis.com,manual
Personio,www.personio.de,info@personio.de,manual
Contentful,www.contentful.com,info@contentful.com,manual
N26,www.n26.com,support@n26.com,manual
Babbel,www.babbel.com,help@babbel.com,manual
Staffbase,www.staffbase.com,info@staffbase.com,manual
Sennder,www.sennder.com,info@sennder.com,manual
Adjust,www.adjust.com,info@adjust.com,manual
Signavio,www.signavio.com,info@signavio.com,manual
Candis,www.candis.io,hello@candis.io,manual
Templafy,www.templafy.com,info@templafy.com,manual
Friday,www.friday.de,info@friday.de,manual
Rasa,www.rasa.com,contact@rasa.com,manual
Choco,www.choco.com,hello@choco.com,manual
Flink,www.goflink.com,hello@goflink.com,manual
Data Guard,www.dataguard.de,info@dataguard.de,manual
Abatable,www.abatable.com,hello@abatable.com,manual
Merantix,www.merantix.com,hello@merantix.com,manual
Zeitgold,www.zeitgold.com,info@zeitgold.com,manual
7Learnings,www.7learnings.com,info@7learnings.com,manual
